Respondent_ID,Age_Group,Height_Group,City_Type,Occupation,Monthly_Personal_Income,Body_Shape,Shopping_Frequency,Shopping_Channels,Clothing_Types_Bought,Fit_Issue_Frequency,Biggest_Fit_Issues,Fit_Frustration_Score,Skipped_Purchase_Due_To_Fit,Alteration_Frequency,Monthly_Alteration_Spend,Online_Return_Frequency,Return_Reasons,Preferred_Bottomwear,Preferred_Topwear,Preferred_Dress_Types,Preferred_Colors,Budget_Per_Item,Pay_20_Percent_More_For_Perfect_Fit,Switch_Brand_For_Better_Fit,Purchase_Likelihood
PF100001,18–22,5’2” – 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Weekly,Local stores,"Jeans / Trousers, Activewear, Ethnic wear (Kurtas, sets)",Always,Waist not fitting properly,5,"Yes, frequently",Always,₹700+,Often,"Size inconsistency, Poor fit","Cropped pants, Wide-leg pants, Formal trousers","Casual tops, Formal shirts, Fitted tops","Maxi dresses, Midi dresses","Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100002,23–27,5’0” – 5’2”,Tier 2,Homemaker,"Below ₹20,000",Pear (hips wider),Rarely,"Ajio, Zara / H&M","Dresses, Jeans / Trousers",Sometimes,Poor overall proportion,4,"Yes, frequently",Often,₹700+,Sometimes,Poor fit,"Straight jeans, Slim fit jeans, Formal trousers",Casual tops,"Mini dresses, Midi dresses","Dark tones, Pastel, Bright colors","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF100003,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Once every 2–3 months,Ajio,"Dresses, Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,"Pants too long, Dresses too long, Sleeves too long",2,Never,Sometimes,₹100–₹300,Rarely,Poor fit,Wide-leg pants,Casual tops,"Bodycon, A-line","Bright colors, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Depends,No,Maybe
PF100004,36–45,Above 5’3”,Tier 1 (Metro),Self-employed,"Below ₹20,000",Pear (hips wider),Once every 2–3 months,Instagram brands,"Jeans / Trousers, Ethnic wear (Kurtas, sets), Tops / Shirts",Rarely,"Sleeves too long, Poor overall proportion",3,Rarely,Never,₹100–₹300,Never,Other,"Formal trousers, Wide-leg pants",Casual tops,Midi dresses,"Pastel, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Definitely not
PF100005,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Once every 2–3 months,Zara / H&M,"Tops / Shirts, Ethnic wear (Kurtas, sets)",Always,"Pants too long, Sleeves too long, Dresses too long",4,"Yes, sometimes",Always,₹300–₹700,Sometimes,"Fabric quality, Size inconsistency",Straight jeans,"Formal shirts, Fitted tops, Casual tops","A-line, Midi dresses","Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF100006,28–35,5’2” – 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Rectangle (straight),Once every 2–3 months,Myntra,"Dresses, Tops / Shirts",Often,Waist not fitting properly,5,"Yes, sometimes",Always,₹300–₹700,Often,Poor fit,"Formal trousers, Straight jeans, Wide-leg pants","Formal shirts, Casual tops, Oversized tops","A-line, Midi dresses","Pastel, Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF100007,18–22,4’10” – 5’0”,Tier 3 / Smaller town,Student,"₹20,000 – ₹50,000",Not sure,Monthly,Amazon / Flipkart,Tops / Shirts,Never,No issue,1,Never,Often,₹100–₹300,Rarely,Style mismatch,"Slim fit jeans, Straight jeans, Formal trousers","Formal shirts, Casual tops","A-line, Maxi dresses","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,No,Likely
PF100008,18–22,5’0” – 5’2”,Tier 1 (Metro),Student,No income,Apple (midsection wider),Weekly,"Ajio, Zara / H&M, Myntra","Dresses, Jeans / Trousers, Tops / Shirts",Sometimes,"Pants too long, Sleeves too long",3,"Yes, frequently",Sometimes,₹100–₹300,Sometimes,Size inconsistency,"Straight jeans, Wide-leg pants","Oversized tops, Casual tops, Formal shirts","Maxi dresses, Midi dresses",Pastel,"₹1,000 – ₹2,000",Depends,"Yes, definitely",Maybe
PF100009,36–45,5’0” – 5’2”,Tier 1 (Metro),Homemaker,No income,Apple (midsection wider),Once every 2–3 months,Local stores,Dresses,Often,"Sleeves too long, Dresses too long, Pants too long",3,"Yes, frequently",Often,₹0,Very often,"Fabric quality, Size inconsistency","Formal trousers, Wide-leg pants",Formal shirts,Midi dresses,"Dark tones, Bright colors","₹1,000 – ₹2,000",Depends,Maybe,Likely
PF100010,36–45,4’10” – 5’0”,Tier 2,Working Professional,"Below ₹20,000",Hourglass,Rarely,"Zara / H&M, Myntra",Dresses,Never,No issue,2,Never,Often,₹0,Often,"Poor fit, Fabric quality","Straight jeans, Wide-leg pants, Formal trousers","Formal shirts, Casual tops",Mini dresses,"Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,No,Maybe
